Frame,Visibility,X,Y
0,1,794.0,259.0
1,1,800.0,276.0
2,1,806.0,292.0
3,1,809.0,311.0
4,1,810.0,328.0
5,1,816.0,346.0
6,1,816.0,361.0
7,1,821.0,379.0
8,1,821.0,396.0
9,1,824.0,413.0
10,1,824.0,433.0
11,1,826.0,448.0
12,1,828.0,468.0
13,1,830.0,487.0
14,1,828.0,456.0
15,1,825.0,398.0
16,1,822.0,363.0
17,1,822.0,334.0
18,1,819.0,309.0
19,1,818.0,293.0
20,1,816.0,278.0
21,1,817.0,268.0
22,1,816.0,260.0
23,1,814.0,253.0
24,1,815.0,248.0
25,1,815.0,246.0
26,1,813.0,245.0
27,1,814.0,246.0
28,1,814.0,246.0
29,1,814.0,250.0
30,1,817.0,250.0
31,1,819.0,252.0
32,1,820.0,253.0
33,1,826.0,257.0
34,1,831.0,260.0
35,1,834.0,265.0
36,1,836.0,273.0
37,1,838.0,280.0
38,1,841.0,289.0
39,1,842.0,303.0
40,1,845.0,309.0
41,1,848.0,324.0
42,1,851.0,334.0
43,1,853.0,348.0
44,1,855.0,366.0
45,1,856.0,383.0
46,1,859.0,400.0
47,1,861.0,413.0
48,1,861.0,431.0
49,1,863.0,453.0
50,1,862.0,470.0
51,1,863.0,470.0
52,1,857.0,406.0
53,1,851.0,358.0
54,1,847.0,325.0
55,1,844.0,293.0
56,1,839.0,266.0
57,1,836.0,245.0
58,1,836.0,228.0
59,1,833.0,217.0
60,1,832.0,206.0
61,1,830.0,195.0
62,1,828.0,190.0
63,1,825.0,183.0
64,1,824.0,178.0
65,1,823.0,176.0
66,1,822.0,174.0
67,1,820.0,174.0
68,1,822.0,178.0
69,1,821.0,179.0
70,1,821.0,185.0
71,1,821.0,189.0
72,1,819.0,195.0
73,1,819.0,203.0
74,1,818.0,210.0
75,1,819.0,220.0
76,1,817.0,228.0
77,1,772.0,209.0
78,1,739.0,191.0
79,1,709.0,176.0
80,1,685.0,165.0
81,1,663.0,160.0
82,1,646.0,153.0
83,1,629.0,150.0
84,1,613.0,146.0
85,1,598.0,149.0
86,1,585.0,149.0
87,1,573.0,150.0
88,1,560.0,154.0
89,1,547.0,161.0
90,1,536.0,170.0
91,1,527.0,177.0
92,1,513.0,184.0
93,1,503.0,197.0
94,1,497.0,211.0
95,1,486.0,222.0
96,1,478.0,234.0
97,1,469.0,249.0
98,1,462.0,265.0
99,1,453.0,285.0
100,1,444.0,303.0
101,1,437.0,326.0
102,1,429.0,343.0
103,1,424.0,366.0
104,1,433.0,363.0
105,1,445.0,349.0
106,1,454.0,341.0
107,1,464.0,336.0
108,1,468.0,333.0
109,1,473.0,334.0
110,1,478.0,336.0
111,1,482.0,336.0
112,1,486.0,339.0
113,1,487.0,343.0
114,1,492.0,349.0
115,1,491.0,356.0
116,1,496.0,362.0
117,1,509.0,364.0
118,0,0,0
119,0,0,0
120,1,572.0,335.0
121,1,593.0,328.0
122,1,609.0,323.0
123,1,622.0,319.0
124,1,639.0,319.0
125,1,655.0,319.0
126,1,666.0,322.0
127,1,681.0,326.0
128,1,694.0,331.0
129,1,706.0,336.0
130,1,716.0,341.0
131,1,726.0,349.0
132,1,739.0,362.0
133,1,747.0,372.0
134,1,758.0,383.0
135,1,767.0,396.0
136,1,775.0,410.0
137,1,781.0,424.0
138,1,790.0,441.0
139,1,795.0,457.0
140,1,803.0,476.0
141,1,810.0,492.0
142,1,819.0,511.0
143,1,787.0,485.0
144,0,0,0
145,0,0,0
146,1,727.0,407.0
147,1,712.0,385.0
148,1,692.0,363.0
149,1,679.0,347.0
150,1,664.0,336.0
151,1,653.0,325.0
152,1,635.0,315.0
153,1,627.0,307.0
154,1,615.0,302.0
155,1,605.0,297.0
156,1,597.0,296.0
157,1,584.0,293.0
158,1,578.0,296.0
159,1,568.0,296.0
160,1,561.0,299.0
161,1,552.0,304.0
162,1,544.0,309.0
163,1,537.0,314.0
164,1,532.0,325.0
165,1,525.0,335.0
166,1,517.0,345.0
167,1,512.0,358.0
168,1,507.0,366.0
169,1,501.0,381.0
170,1,498.0,393.0
171,1,494.0,387.0
172,1,495.0,344.0
173,1,493.0,331.0
174,1,491.0,314.0
175,1,494.0,298.0
176,1,492.0,283.0
177,1,492.0,273.0
178,1,491.0,265.0
179,1,490.0,258.0
180,1,490.0,253.0
181,1,488.0,251.0
182,1,487.0,247.0
183,1,488.0,248.0
184,1,490.0,247.0
185,1,488.0,252.0
186,1,489.0,257.0
187,1,486.0,263.0
188,1,485.0,273.0
189,1,485.0,282.0
190,1,485.0,292.0
191,1,483.0,306.0
192,1,486.0,318.0
193,1,484.0,334.0
194,1,483.0,347.0
195,1,483.0,367.0
196,1,480.0,382.0
197,1,479.0,405.0
198,1,480.0,425.0
199,1,481.0,447.0
200,1,478.0,445.0
201,1,486.0,367.0
202,1,486.0,319.0
203,1,490.0,288.0
204,1,491.0,265.0
205,1,493.0,247.0
206,1,497.0,230.0
207,1,498.0,219.0
208,1,498.0,214.0
209,1,500.0,205.0
210,1,499.0,201.0
211,1,503.0,199.0
212,1,504.0,199.0
213,1,506.0,198.0
214,1,508.0,200.0
215,1,509.0,202.0
216,1,512.0,207.0
217,1,513.0,211.0
218,1,514.0,217.0
219,1,516.0,223.0
220,1,520.0,230.0
221,1,514.0,236.0
222,1,514.0,236.0
223,1,510.0,234.0
224,1,503.0,230.0
225,1,498.0,232.0
226,1,492.0,236.0
227,1,489.0,239.0
228,1,484.0,242.0
229,1,481.0,250.0
230,1,476.0,258.0
231,1,474.0,266.0
232,1,469.0,276.0
233,1,466.0,286.0
234,1,463.0,297.0
235,1,458.0,309.0
236,1,457.0,324.0
237,1,453.0,337.0
238,1,450.0,351.0
239,1,446.0,369.0
240,0,0,0
241,1,442.0,403.0
242,1,439.0,423.0
243,1,437.0,439.0
244,1,434.0,460.0
245,1,430.0,479.0
246,0,0,0
247,1,437.0,348.0
248,1,440.0,273.0
249,1,441.0,207.0
250,1,446.0,157.0
251,1,447.0,114.0
252,0,0,0
253,1,452.0,37.0
254,1,453.0,20.0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,1,488.0,183.0
269,1,486.0,183.0
270,1,485.0,184.0
271,1,481.0,188.0
272,1,479.0,192.0
273,1,477.0,197.0
274,1,475.0,205.0
275,1,472.0,213.0
276,1,471.0,222.0
277,1,471.0,230.0
278,1,467.0,242.0
279,1,467.0,255.0
280,1,464.0,270.0
281,1,461.0,285.0
282,1,461.0,303.0
283,1,458.0,316.0
284,1,456.0,336.0
285,1,457.0,346.0
286,1,455.0,324.0
287,1,461.0,304.0
288,1,456.0,296.0
289,1,454.0,290.0
290,1,452.0,282.0
291,1,450.0,279.0
292,1,452.0,277.0
293,1,451.0,277.0
294,1,449.0,278.0
295,1,450.0,282.0
296,1,449.0,286.0
297,1,449.0,292.0
298,1,450.0,300.0
299,1,448.0,305.0
300,1,450.0,315.0
301,1,451.0,324.0
302,1,449.0,335.0
303,1,450.0,345.0
304,1,451.0,358.0
305,1,453.0,370.0
306,1,451.0,380.0
307,1,453.0,393.0
308,1,454.0,409.0
309,1,451.0,417.0
310,0,0,0
311,1,510.0,343.0
312,1,529.0,314.0
313,1,554.0,284.0
314,1,568.0,265.0
315,0,0,0
316,1,599.0,227.0
317,1,614.0,211.0
318,1,626.0,204.0
319,1,637.0,193.0
320,1,652.0,185.0
321,1,660.0,178.0
322,1,673.0,176.0
323,1,683.0,171.0
324,1,695.0,173.0
325,1,703.0,175.0
326,1,715.0,178.0
327,1,721.0,182.0
328,1,730.0,189.0
329,1,740.0,195.0
330,1,747.0,205.0
331,1,753.0,215.0
332,1,764.0,229.0
333,1,769.0,242.0
334,1,775.0,259.0
335,1,784.0,269.0
336,1,786.0,289.0
337,1,792.0,307.0
338,1,794.0,327.0
